Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Pantothenate and CoA biosynthesis	2/19	2.260260e-01	4.799713e-01	0	0	2.372507e+00	3.528169e+00	DPYS;ENPP3
KEGG_2019_Human	Steroid biosynthesis	2/19	2.260260e-01	4.799713e-01	0	0	2.372507e+00	3.528169e+00	CYP27B1;CEL
KEGG_2019_Human	Adipocytokine signaling pathway	5/69	2.272656e-01	4.799713e-01	0	0	1.576614e+00	2.335968e+00	G6PC;CD36;PCK1;ACSBG2;PCK2
KEGG_2019_Human	Renal cell carcinoma	5/69	2.272656e-01	4.799713e-01	0	0	1.576614e+00	2.335968e+00	EGLN3;TGFA;PAK6;ETS1;VEGFA
KEGG_2019_Human	Renin secretion	5/69	2.272656e-01	4.799713e-01	0	0	1.576614e+00	2.335968e+00	EDNRA;EDN1;KCNMA1;CALML3;KCNJ2
KEGG_2019_Human	Prolactin signaling pathway	5/70	2.360490e-01	4.948286e-01	0	0	1.552277e+00	2.241047e+00	CCND2;CCND1;ELF5;PRLR;CYP17A1
KEGG_2019_Human	Human T-cell leukemia virus 1 infection	13/219	2.385627e-01	4.964210e-01	0	0	1.274852e+00	1.827020e+00	CDKN2B;HLA-DRB4;ITGB2;HLA-F;ADCY8;HLA-G;ETS1;CCND2;CCND1;IL2RB;HLA-DPB1;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	Starch and sucrose metabolism	3/36	2.414458e-01	4.987530e-01	0	0	1.833703e+00	2.605894e+00	G6PC;TREH;ENPP3
KEGG_2019_Human	Adrenergic signaling in cardiomyocytes	9/145	2.484988e-01	5.096026e-01	0	0	1.336101e+00	1.860276e+00	KCNE1;PPP1R1A;TNNC1;TNNT2;SCN7A;CALML3;ADCY8;SCN4B;RAPGEF4
KEGG_2019_Human	Purine metabolism	8/129	2.665889e-01	5.401681e-01	0	0	1.334508e+00	1.764283e+00	ENTPD1;PKLR;GDA;ENTPD5;ADSSL1;ENPP3;ADCY8;ALLC
KEGG_2019_Human	Phospholipase D signaling pathway	9/148	2.672210e-01	5.401681e-01	0	0	1.307057e+00	1.724896e+00	PDGFRB;PDGFRA;LPAR5;CXCR1;EGF;PDGFD;ADCY8;EGFR;RAPGEF4
